;ENSBTAT00000001063_98;ENSBTAT00000075784_98;ENSBTAT00000047356_98;ENSBTAT00000081411_98;ENSBTAT00000014936_98;ENSBTAT00000067399_98;ENSBTAT00000067879_98;ENSBTAT00000080112_98;ENSBTAT00000082719_98;ENSBTAT00000019309_98;ENSBTAT00000080865_98;ENSBTAT00000084315_98;ENSBTAT00000021671_98;ENSBTAT00000081480_98;ENSBTAT00000025447_98;ENSBTAT00000032168_98;ENSCAFT00000002680_98;ENSCAFT00000004679_98;ENSCAFT00000006771_98;ENSCAFT00000038895_98;ENSCAFT00000063489_98;ENSCAFT00000013895_98;ENSCAFT00000015908_98;ENSCAFT00000048936_98;ENSCAFT00000063917_98;ENSCAFT00000067748_98;ENSCAFT00000069799_98;ENSCAFT00000074238_98;ENSCAFT00000077614_98;ENSCAFT00000081924_98;ENSCAFT00000017386_98;ENSCAFT00000077728_98;ENSCAFT00000082195_98;ENSCAFT00000030888_98;ENSCAFT00000092108_98;ENSCAFT00020006658_98;ENSCAFT00020020044_98;ENSCAFT00020021017_98;ENSCAFT00020021478_98;ENSCAFT00020025374_98;ENSCAFT00020025671_98;ENSCAFT00020025673_98;ENSCAFT00020040315_98;ENST00000396049_98;ENST00000233892_98;ENST00000323303_98;ENST00000409355_98;ENST00000409360_98;ENST00000409916_98;ENST00000417097_98;ENST00000448447_98;ENST00000262244_98;ENST00000271139_98;ENST00000319928_98;ENST00000371940_98;ENST00000357066_98;ENST00000586676_98;ENST00000588048_98;ENST00000589902_98;ENST00000591236_98;ENST00000591326_98;ENST00000591638_98;ENST00000592280_98;ENST00000309395_98;ENST00000396051_98;ENST00000502869_98;ENST00000329957_98;ENST00000614710_98;ENST00000604458_98;ENSGALT00000086679_98;ENSGALT00000013192_98;ENSGALT00000018879_98;ENSGALT00000045632_98;ENSGALT00000055274_98;ENSGALT00000084848_98;ENSGALT00000073440_98;ENSGALT00000102171_98;ENSGALT00000103370_98;ENSGALT00000072963_98;ENSGALT00000049628_98;ENSMUST00000003438_98;ENSMUST00000218090_98;ENSMUST00000220138_98;ENSMUST00000006424_98;ENSMUST00000113229_98;ENSMUST00000084418_98;ENSMUST00000209725_98;ENSMUST00000209732_98;ENSMUST00000210684_98;ENSMUST00000211000_98;ENSMUST00000211206_98;ENSMUST00000027122_98;ENSMUST00000159311_98;ENSMUST00000161122_98;ENSMUST00000162364_98;ENSMUST00000162553_98;ENSMUST00000030477_98;ENSMUST00000148409_98;ENSMUST00000038658_98;ENSMUST00000055261_98;ENSMUST00000101245_98;ENSMUST00000133045_98;ENSMUST00000155580_98;ENSMUST00000102975_98
ENSMUST00000113229_98;0.0;0.0;0.405;0.411;0.0;0.192;0.311;0.059;0.29;0.0;0.0;0.0;0.992;0.989;0.732;0.0;0.0;0.507;0.102;0.587;0.593;0.507;0.0;0.164;0.0;0.0;0.0;0.369;0.0;0.14;0.541;0.513;0.0;0.644;0.637;0.539;0.507;0.0;0.508;0.0;0.0;0.559;0.507;1.0;0.525;0.68;0.36;0.525;0.071;0.297;0.559;0.76;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.978;0.998;0.507;0.545;0.0;0.606;0.571;0.736;0.654;0.0;0.0;0.0;0.263;0.195;0.099;0.0;0.521;0.0;0.0;0.0;0.986;1.0;0.507;0.0;0.0;0.513;0.0;0.0;0.259;0.511;0.198;0.642;0.584;0.501;0.502;0.315;0.746;0.746;0.171;0.259;0.758
ENSMUST00000084418_98;0.0;0.0;0.0;0.0;0.345;0.493;0.336;0.479;0.473;0.0;0.0;0.0;0.207;0.51;0.506;0.0;0.0;0.0;0.032;0.28;0.032;0.0;0.327;0.327;0.316;0.182;0.326;0.373;0.186;0.185;0.0;0.0;0.0;0.211;0.278;0.0;0.0;0.0;0.0;0.0;0.168;0.206;0.0;0.507;0.0;0.5;0.0;0.0;0.0;0.5;0.0;0.506;0.751;0.676;0.676;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.508;0.341;0.342;0.0;0.0;0.055;0.519;0.507;0.509;0.0;0.0;0.0;0.0;0.0;0.502;0.0;0.507;0.0;0.0;0.0;0.507;0.507;1.0;0.297;0.768;0.435;0.659;0.659;0.502;0.336;0.504;0.502;0.0;0.0;0.0;0.507;0.506;0.506;0.0;0.0;0.506
ENSMUST00000209725_98;0.0;0.0;0.0;0.0;0.488;0.354;0.473;0.361;0.358;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.518;0.525;0.0;0.367;0.0;0.521;0.752;0.751;0.731;0.544;0.748;0.709;0.559;0.554;0.53;0.533;0.534;0.0;0.331;0.53;0.526;0.519;0.0;0.0;0.459;0.427;0.526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.502;0.502;0.48;0.085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.518;0.0;0.0;0.0;0.0;0.0;0.0;0.297;1.0;0.516;0.412;0.055;0.055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000209732_98;0.0;0.0;0.0;0.0;0.429;0.65;0.418;0.662;0.656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.516;0.522;0.017;0.542;0.017;0.518;0.661;0.661;0.647;0.501;0.66;0.621;0.508;0.505;0.525;0.528;0.528;0.018;0.441;0.525;0.526;0.519;0.0;0.0;0.57;0.529;0.526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.725;0.646;0.646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.501;0.502;0.479;0.344;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.517;0.0;0.0;0.0;0.0;0.0;0.0;0.768;0.516;1.0;0.317;0.54;0.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000210684_98;0.0;0.0;0.0;0.0;0.399;0.213;0.387;0.199;0.197;0.0;0.0;0.0;0.214;0.518;0.51;0.0;0.0;0.0;0.0;0.116;0.0;0.0;0.297;0.297;0.283;0.142;0.295;0.348;0.148;0.146;0.0;0.0;0.0;0.26;0.181;0.0;0.0;0.0;0.0;0.0;0.083;0.123;0.0;0.513;0.0;0.5;0.0;0.0;0.0;0.501;0.0;0.511;0.149;0.047;0.047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.516;0.347;0.353;0.0;0.0;0.055;0.26;0.511;0.511;0.0;0.0;0.0;0.0;0.0;0.503;0.0;0.508;0.0;0.0;0.0;0.513;0.513;0.435;0.412;0.317;1.0;0.171;0.171;0.504;0.337;0.508;0.503;0.0;0.0;0.0;0.514;0.511;0.511;0.0;0.0;0.511
ENSMUST00000211000_98;0.0;0.0;0.0;0.0;0.155;0.342;0.152;0.349;0.345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.046;0.186;0.046;0.0;0.03;0.03;0.021;0.0;0.03;0.028;0.0;0.0;0.0;0.0;0.0;0.043;0.121;0.0;0.0;0.0;0.0;0.0;0.11;0.102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.871;0.822;0.822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.659;0.055;0.54;0.171;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000211206_98;0.0;0.0;0.0;0.0;0.155;0.342;0.152;0.349;0.345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.046;0.186;0.046;0.0;0.03;0.03;0.021;0.0;0.03;0.028;0.0;0.0;0.0;0.0;0.0;0.043;0.121;0.0;0.0;0.0;0.0;0.0;0.11;0.102;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.871;0.822;0.822;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.659;0.055;0.54;0.171;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000027122_98;0.657;0.657;0.653;0.666;0.488;0.37;0.569;0.354;0.479;0.622;0.612;0.612;0.247;0.281;0.692;0.654;0.676;0.657;0.679;0.481;0.494;0.628;0.321;0.363;0.0;0.0;0.0;0.27;0.158;0.117;0.623;0.398;0.476;0.601;0.589;0.593;0.657;0.667;0.667;0.661;0.557;0.535;0.639;0.26;0.659;0.682;0.0;0.659;0.768;0.107;0.597;0.515;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.278;0.25;0.155;0.611;0.471;0.555;0.63;0.712;0.57;0.546;0.546;0.546;0.668;0.391;0.466;0.666;0.639;0.664;0.788;0.795;0.259;0.259;0.502;0.0;0.0;0.504;0.0;0.0;1.0;0.671;0.214;0.755;0.6;0.671;0.826;0.653;0.54;0.54;0.0;0.089;0.516
ENSMUST00000159311_98;0.648;0.648;0.664;0.669;0.461;0.325;0.649;0.335;0.549;0.614;0.605;0.605;0.487;0.522;0.848;0.644;0.668;0.698;0.497;0.722;0.742;0.676;0.282;0.379;0.0;0.0;0.0;0.208;0.133;0.222;0.636;0.414;0.454;0.674;0.662;0.711;0.698;0.66;0.707;0.655;0.474;0.643;0.682;0.513;0.913;0.836;0.158;0.913;0.649;0.023;0.914;0.682;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.52;0.492;0.0;0.672;0.43;0.658;0.686;0.862;0.686;0.543;0.543;0.543;0.62;0.452;0.425;0.661;0.662;0.656;0.764;0.77;0.511;0.511;0.336;0.0;0.0;0.337;0.0;0.0;0.671;1.0;0.113;0.915;0.843;0.664;0.799;0.421;0.705;0.705;0.0;0.116;0.682
ENSMUST00000161122_98;0.0;0.0;0.038;0.0;0.0;0.026;0.026;0.0;0.024;0.0;0.0;0.0;0.19;0.228;0.111;0.0;0.0;0.009;0.041;0.027;0.028;0.009;0.0;0.0;0.0;0.0;0.0;0.279;0.041;0.048;0.068;0.095;0.0;0.146;0.143;0.0;0.009;0.0;0.028;0.0;0.029;0.075;0.009;0.198;0.064;0.11;0.083;0.064;0.0;0.699;0.023;0.135;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.223;0.192;0.234;0.014;0.0;0.086;0.088;0.122;0.152;0.0;0.0;0.0;0.0;0.0;0.07;0.0;0.031;0.0;0.0;0.0;0.198;0.198;0.504;0.0;0.0;0.508;0.0;0.0;0.214;0.113;1.0;0.198;0.062;0.0;0.0;0.105;0.13;0.13;0.0;0.271;0.135
ENSMUST00000162364_98;0.638;0.638;0.649;0.655;0.442;0.339;0.623;0.324;0.533;0.607;0.599;0.599;0.614;0.648;0.935;0.635;0.657;0.698;0.485;0.714;0.732;0.663;0.259;0.348;0.0;0.0;0.0;0.282;0.122;0.204;0.702;0.479;0.418;0.747;0.734;0.702;0.698;0.651;0.707;0.645;0.448;0.691;0.675;0.645;0.909;0.922;0.145;0.909;0.591;0.11;0.836;0.775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.648;0.62;0.075;0.663;0.424;0.738;0.732;0.949;0.762;0.541;0.541;0.541;0.609;0.443;0.417;0.652;0.683;0.646;0.737;0.742;0.642;0.642;0.502;0.0;0.0;0.503;0.0;0.0;0.755;0.915;0.198;1.0;0.841;0.656;0.776;0.477;0.797;0.797;0.0;0.191;0.776
ENSMUST00000162553_98;0.619;0.619;0.645;0.651;0.436;0.305;0.625;0.314;0.529;0.571;0.562;0.562;0.582;0.556;0.885;0.613;0.63;0.657;0.443;0.73;0.752;0.639;0.273;0.374;0.0;0.0;0.0;0.174;0.099;0.21;0.643;0.42;0.395;0.625;0.614;0.675;0.657;0.63;0.668;0.625;0.418;0.635;0.641;0.586;0.974;0.885;0.161;0.974;0.625;0.066;0.888;0.753;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.561;0.583;0.006;0.649;0.406;0.668;0.646;0.879;0.649;0.347;0.347;0.347;0.627;0.45;0.358;0.63;0.626;0.626;0.731;0.737;0.584;0.584;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.843;0.062;0.841;1.0;0.632;0.766;0.444;0.778;0.778;0.0;0.171;0.754
ENSMUST00000030477_98;0.99;0.99;0.945;0.941;0.503;0.636;0.496;0.637;0.655;0.888;0.926;0.926;0.501;0.501;0.658;0.99;0.962;0.954;0.917;0.854;0.887;0.954;0.363;0.286;0.19;0.186;0.191;0.165;0.164;0.163;0.909;0.768;0.867;0.839;0.819;0.912;0.954;0.962;0.99;0.994;0.877;0.863;0.954;0.501;0.668;0.662;0.0;0.668;0.702;0.0;0.669;0.552;0.541;0.0;0.0;0.623;0.361;0.127;0.497;0.567;0.567;0.653;0.623;0.501;0.501;0.0;0.889;0.895;0.861;0.891;0.659;0.839;0.774;0.774;0.774;0.901;0.823;0.821;0.964;0.966;0.996;0.419;0.398;0.501;0.501;0.0;0.0;0.0;0.0;0.0;0.0;0.671;0.664;0.0;0.656;0.632;1.0;0.415;0.584;0.572;0.572;0.0;0.0;0.552
ENSMUST00000148409_98;0.393;0.393;0.394;0.392;0.496;0.249;0.491;0.249;0.271;0.321;0.301;0.301;0.502;0.502;0.781;0.393;0.42;0.401;0.413;0.386;0.4;0.401;0.484;0.369;0.0;0.0;0.0;0.197;0.197;0.194;0.396;0.256;0.332;0.379;0.37;0.411;0.401;0.42;0.396;0.398;0.36;0.37;0.401;0.502;0.812;0.791;0.0;0.812;0.95;0.0;0.817;0.595;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.502;0.502;0.0;0.363;0.349;0.389;0.388;0.781;0.356;0.13;0.13;0.13;0.423;0.341;0.34;0.416;0.357;0.401;0.949;0.982;0.502;0.502;0.0;0.0;0.0;0.0;0.0;0.0;0.826;0.799;0.0;0.776;0.766;0.415;1.0;0.679;0.631;0.631;0.0;0.0;0.595
ENSMUST00000038658_98;0.574;0.574;0.544;0.542;0.322;0.338;0.336;0.226;0.295;0.536;0.533;0.533;0.313;0.312;0.547;0.572;0.583;0.529;0.579;0.343;0.349;0.511;0.174;0.22;0.0;0.0;0.0;0.19;0.0;0.0;0.476;0.195;0.31;0.448;0.442;0.447;0.529;0.581;0.537;0.577;0.416;0.42;0.516;0.318;0.433;0.486;0.018;0.433;0.63;0.127;0.431;0.583;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.313;0.315;0.472;0.433;0.368;0.415;0.472;0.543;0.445;0.0;0.0;0.0;0.547;0.276;0.332;0.58;0.534;0.579;0.649;0.653;0.315;0.315;0.507;0.0;0.0;0.514;0.0;0.0;0.653;0.421;0.105;0.477;0.444;0.584;0.679;1.0;0.647;0.647;0.142;0.077;0.583
ENSMUST00000055261_98;0.559;0.559;0.575;0.581;0.261;0.276;0.461;0.184;0.409;0.528;0.526;0.526;0.742;0.742;0.873;0.557;0.571;0.588;0.355;0.658;0.67;0.573;0.115;0.258;0.0;0.0;0.0;0.222;0.0;0.111;0.608;0.331;0.246;0.697;0.687;0.608;0.588;0.569;0.592;0.564;0.294;0.626;0.579;0.754;0.76;0.803;0.184;0.76;0.42;0.144;0.712;0.948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.742;0.746;0.239;0.584;0.282;0.667;0.643;0.871;0.713;0.0;0.0;0.0;0.532;0.332;0.27;0.568;0.589;0.565;0.605;0.607;0.746;0.746;0.506;0.0;0.0;0.511;0.0;0.0;0.54;0.705;0.13;0.797;0.778;0.572;0.631;0.647;1.0;1.0;0.094;0.201;0.948
ENSMUST00000101245_98;0.559;0.559;0.575;0.581;0.261;0.276;0.461;0.184;0.409;0.528;0.526;0.526;0.742;0.742;0.873;0.557;0.571;0.588;0.355;0.658;0.67;0.573;0.115;0.258;0.0;0.0;0.0;0.222;0.0;0.111;0.608;0.331;0.246;0.697;0.687;0.608;0.588;0.569;0.592;0.564;0.294;0.626;0.579;0.754;0.76;0.803;0.184;0.76;0.42;0.144;0.712;0.948;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.742;0.746;0.239;0.584;0.282;0.667;0.643;0.871;0.713;0.0;0.0;0.0;0.532;0.332;0.27;0.568;0.589;0.565;0.605;0.607;0.746;0.746;0.506;0.0;0.0;0.511;0.0;0.0;0.54;0.705;0.13;0.797;0.778;0.572;0.631;0.647;1.0;1.0;0.094;0.201;0.948
ENSMUST00000133045_98;0.0;0.0;0.0;0.0;0.0;0.048;0.0;0.015;0.0;0.0;0.0;0.0;0.169;0.169;0.019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.101;0.0;0.0;0.0;0.0;0.0;0.033;0.032;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.171;0.0;0.014;0.058;0.0;0.0;0.075;0.015;0.091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.169;0.171;0.406;0.0;0.0;0.007;0.0;0.013;0.026;0.0;0.0;0.0;0.0;0.0;0.041;0.0;0.013;0.0;0.0;0.0;0.171;0.171;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.142;0.094;0.094;1.0;0.0;0.091
ENSMUST00000155580_98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.257;0.256;0.183;0.0;0.0;0.0;0.0;0.105;0.108;0.0;0.0;0.0;0.0;0.0;0.0;0.289;0.0;0.059;0.197;0.337;0.0;0.129;0.127;0.055;0.0;0.0;0.015;0.0;0.0;0.148;0.0;0.259;0.168;0.189;0.383;0.168;0.0;0.262;0.114;0.213;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.257;0.259;0.067;0.0;0.0;0.155;0.096;0.183;0.153;0.0;0.0;0.0;0.0;0.14;0.0;0.0;0.041;0.0;0.0;0.0;0.259;0.259;0.0;0.0;0.0;0.0;0.0;0.0;0.089;0.116;0.271;0.191;0.171;0.0;0.0;0.077;0.201;0.201;0.0;1.0;0.213
ENSMUST00000102975_98;0.543;0.543;0.556;0.562;0.23;0.265;0.436;0.152;0.391;0.512;0.511;0.511;0.758;0.757;0.839;0.542;0.551;0.562;0.324;0.643;0.654;0.552;0.094;0.268;0.0;0.0;0.0;0.217;0.0;0.113;0.585;0.234;0.146;0.677;0.668;0.585;0.562;0.55;0.567;0.547;0.243;0.606;0.556;0.77;0.741;0.771;0.176;0.741;0.397;0.134;0.679;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.758;0.756;0.251;0.566;0.232;0.644;0.621;0.839;0.693;0.0;0.0;0.0;0.526;0.301;0.214;0.55;0.561;0.547;0.576;0.578;0.758;0.758;0.506;0.0;0.0;0.511;0.0;0.0;0.516;0.682;0.135;0.776;0.754;0.552;0.595;0.583;0.948;0.948;0.091;0.213;1.0
